"Date";"Fertil";"Food";"GPRH";"Metal";"Oil";"Raw_Material";"Temperature Anomalies";"VIX";"Euro_Dollars"
2000-06-01;36,7355474486;53,8;50,0066833496094;37,28626163755;31,82;58,48608277203;0,39;19,540001;44,65
2000-07-01;39,23529964015;54;39,5753021240234;38,18283526881;29,7;56,81733214863;0,4;20,74;45,05
2000-08-01;41,03380482485;53,2;32,6047973632812;38,04919912806;31,26;57,29020633497;0,46;16,84;45,805
2000-09-01;38,24312796086;52,6;44,666675567627;39,85122164567;33,88;54,33714378651;0,42;20,57;45,98
2000-10-01;37,77506158906;53,4;58,182689666748;37,67860971363;33,11;54,05226642697;0,31;23,629999;46,845
2000-11-01;35,40194812416;53,8;36,5154228210449;36,61588587022;34,42;53,09075001215;0,26;29,65;46,87
2000-12-01;34,91894635924;54,4;39,0643768310547;38,00628388152;28,44;52,37076401555;0,33;26,85;46,68
2001-01-01;38,4967372105;53,8;38,0375137329102;38,30008728469;29,59;51,15862709054;0,47;22,02;46,39
2001-02-01;36,2427289742;54,2;33,4735946655273;37,86784249779;29,61;51,1307993995;0,41;28,35;46,54
2001-03-01;35,33039230713;55,1;41,9615516662598;36,3765433986;27,25;50,17301430757;0,65;28,639999;46,71
2001-04-01;34,8187682154;54,6;38,0690307617188;35,82407988345;27,49;49,65838301551;0,59;25,48;46,84
2001-05-01;33,14610994021;55,4;46,6959495544434;36,63165039991;28,63;49,05929554268;0,62;22,639999;47
2001-06-01;33,33365321578;54,8;52,2373085021973;35,0963659136;27,6;48,4689328263;0,55;19,059999;47,04
2001-07-01;33,40458480309;56,5;50,5754890441895;33,68626152871;26,43;47,46969301853;0,6;21,620001;47,13
2001-08-01;33,65440593297;56,6;48,3959503173828;32,66504422612;27,37;47,53817070201;0,61;24,92;47,12
2001-09-01;34,44211576145;55,4;289,940124511719;31,79740724375;26,2;47,83406171884;0,54;31,93;47,85
2001-10-01;34,67109437593;54,2;303,585327148438;30,64935747626;22,17;45,31715194685;0,52;33,560001;47,99
2001-11-01;35,04724744611;54,7;215,274429321289;31,61900550445;19,64;44,88042550394;0,71;23,84;47,93
2001-12-01;35,7718470082;54,3;179,275985717773;32,08343754207;19,39;45,14044329003;0,57;23,799999;48,22
2002-01-01;36,1952189256;53,5;131,618515014648;32,81834038697;19,72;45,37850585831;0,71;21,09;48,51
2002-02-01;35,94843346132;51,7;106,102386474609;33,03548773288;20,72;46,37975926833;0,79;21,59;48,71
2002-03-01;34,60676189209;52;112,14501953125;33,98256786236;24,53;46,86476060023;0,82;17,4;48,78
2002-04-01;33,47202070401;51;114,565628051758;33,62521508215;26,18;47,58627415593;0,58;21,91;48,93
2002-05-01;33,81916561764;50,5;118,064300537109;33,17493691349;27,04;48,09204115622;0,59;19,98;49,01
2002-06-01;34,44702411619;51,3;107,947250366211;33,70246560159;25,52;50,78458352641;0,6;25,4;48,86
2002-07-01;34,56941808079;52;90,2196273803711;33,28193007945;26,97;52,53941516875;0,63;32,029999;48,64
2002-08-01;36,45095572605;53,4;88,4414901733398;31,83382762712;28,39;53,87110764909;0,56;32,639999;48,47
2002-09-01;34,85845571111;54,9;111,664253234863;31,94689706607;29,66;54,1624411923;0,58;39,689999;48,35
2002-10-01;34,61493333793;55,2;119,170524597168;32,17169872195;28,84;53,81056092859;0,49;31,139999;48,34
2002-11-01;34,5525135411;56,3;117,241096496582;33,65796016088;26,35;53,71494654945;0,59;27,5;48,31
2002-12-01;35,54381129878;55,6;116,265594482422;33,77978551933;29,46;54,61371088461;0,49;28,620001;47,95
2003-01-01;37,18603439611;56;136,643829345703;34,72426392105;32,95;54,6651883207;0,71;31,17;47,8
2003-02-01;40,48607102826;56,5;140,880065917969;35,71494977234;35,83;55,15073430514;0,59;29,629999;47,61
2003-03-01;41,89542819029;55,5;244,572158813477;35,09271376163;33,51;56,33905609432;0,61;29,15;47,48
2003-04-01;39,06477139723;55,6;209,307327270508;33,7632193579;28,17;55,58039829636;0,58;21,209999;47,32
2003-05-01;40,48107719056;56,3;131,403350830078;35,12390074683;28,11;54,99671660349;0,62;19,469999;47,02
2003-06-01;41,43522373436;56;126,875129699707;35,68727630682;30,66;55,16880773731;0,55;19,52;46,41
2003-07-01;42,85213666081;56,7;119,357864379883;36,21383872155;30,76;55,31316282175;0,6;19,49;46,165
2003-08-01;42,62217637538;57,6;112,945587158203;36,89844781826;31,57;56,1168143808;0,66;18,629999;45,86
2003-09-01;43,58636963906;58,7;102,623001098633;36,80479292;28,31;56,50481059401;0,65;22,719999;45,65
2003-10-01;44,72250381399;60,3;94,5968933105469;38,83244745573;30,34;58,99885687625;0,74;16,1;45,32
2003-11-01;45,07720449204;61,8;95,3519287109375;40,39656911934;31,11;59,28285890967;0,57;16,32;45,77
2003-12-01;45,91089218335;62,4;109,332992553711;42,72864402167;32,13;58,4908165141;0,76;18,309999;45,625
2004-01-01;46,53263597433;64,3;97,6766815185547;45,86871710109;34,31;59,0496783052;0,61;16,629999;45,27
2004-02-01;43,15961038171;65;98,9583282470703;48,74794479501;34,69;59,73672877924;0,73;14,55;45,205
2004-03-01;42,6084433217;66,7;105,247718811035;49,25615688544;36,74;59,67119804661;0,7;16,74;43,35
2004-04-01;42,30433109934;67,3;121,128257751465;49,42375066392;36,75;59,70575148402;0,6;17,190001;44,47
2004-05-01;43,38124614557;66,4;105,237655639648;46,46839229644;40,28;60,92490700881;0,44;15,5;45,48
2004-06-01;46,5797911666;66,1;125,61060333252;47,80391316627;38,03;61,0215509182;0,48;14,34;45,975
2004-07-01;51,20246115535;65,6;121,087120056152;49,34189342259;40,78;59,73318601869;0,47;15,32;46,375
2004-08-01;53,81591501249;64,5;120,906036376953;48,78671895282;44,9;59,05620208313;0,52;15,29;46,315
2004-09-01;58,02013863076;65,2;133,367172241211;49,28001777648;45,94;59,22690794418;0,55;13,34;45,925
2004-10-01;61,60630947321;64,7;105,098213195801;51,64550163451;53,28;59,3117662956;0,6;16,27;45,335
2004-11-01;59,59767794805;65,4;107,289260864258;52,09679270685;48,47;59,22373817963;0,75;13,24;44,5
2004-12-01;54,25793040117;65,6;86,8295593261719;52,65549246821;43,15;58,38188011627;0,51;13,29;43,25
2005-01-01;54,16490783903;65,4;80,8364791870117;56,3984442549;46,84;60,03614820977;0,65;12,82;43,645
2005-02-01;54,32948621819;65,9;90,2611923217773;57,93918388268;48,15;60,73507007301;0,55;12,08;43,635
2005-03-01;58,81961373653;67,1;72,8620223999023;60,22413855165;54,19;62,27462186854;0,74;14,02;43,675
2005-04-01;62,39740458779;65,6;76,2219161987305;59,0539913762;52,98;62,22168332863;0,72;15,31;43,43
2005-05-01;64,36179903405;66,3;82,1899185180664;56,64913293824;49,83;63,40133898918;0,66;13,29;43,7
2005-06-01;58,84490796437;67,2;71,1310195922852;57,62067215179;56,35;63,89963760457;0,67;12,04;43,485
2005-07-01;59,45683504588;67,4;122,324020385742;57,77035895045;59;65,46228241736;0,66;11,57;43,44
2005-08-01;57,54981009919;67,5;92,7262191772461;60,14032431121;64,99;65,23734784538;0,63;12,6;44,015
2005-09-01;57,79686493684;68,4;82,5535125732422;60,04192687353;65,59;66,52004853042;0,68;11,92;43,955
2005-10-01;58,53031206135;69,4;76,845344543457;61,68131501242;62,26;66,72401850049;0,68;15,32;45,07
2005-11-01;62,22993867679;68,8;67,8366012573242;64,3557698844;58,32;66,65449956498;0,72;12,06;45,89
2005-12-01;59,20670540747;69,5;86,6675033569336;69,36903412299;59,41;67,61840821448;0,63;12,07;44,995
2006-01-01;57,55018824333;69,4;80,4649658203125;73,12580179226;65,49;70,68440764781;0,5;12,95;43,925
2006-02-01;59,20670540747;70,4;77,1498870849609;75,58032538622;61,63;71,94331190008;0,7;12,34;44,275
2006-03-01;63,37002259551;69,4;81,5135040283203;76,34994982276;62,69;71,68307759066;0,64;11,39;44,5
2006-04-01;63,99046146749;69,7;71,6875839233398;87,79851435963;69,44;72,47091321303;0,52;11,59;44,9
2006-05-01;61,41445205458;71;77,7981491088867;101,26719189323;70,84;76,63856209393;0,55;16,440001;46,305
2006-06-01;58,6237751906;71,1;83,3894195556641;91,45682883415;70,95;77,62212727868;0,66;13,08;45,88
2006-07-01;58,36787399263;72,9;106,795906066895;97,16914952323;74,41;76,54668920053;0,62;14,95;46,5
2006-08-01;60,29536516482;72,9;106,37255859375;98,00816204438;73,04;76,55060301685;0,65;12,31;46,48
2006-09-01;60,9572564723;73;99,5656051635742;97,79142159722;63,8;74,59226539341;0,64;11,98;45,91
2006-10-01;60,10932004055;74,9;91,6651611328125;101,69728706623;58,89;74,2923603125;0,68;11,1;44,92
2006-11-01;62,71037398942;77,5;75,4869384765625;101,06505373314;59,08;74,28522079525;0,64;10,91;44,6
2006-12-01;66,38540254438;78,6;80,4272766113281;101,76709173605;61,96;76,45440457142;0,79;11,56;44,115
2007-01-01;68,40704820475;78,1;94,1446151733398;96,82743702612;54,51;78,25774980466;0,91;10,42;44,08
2007-02-01;73,75210014911;79,6;88,5464401245117;98,6930611931;59,28;79,58750851166;0,68;15,42;44,09
2007-03-01;78,67688144663;80,8;74,7906723022461;104,58692035619;60,44;79,85331404158;0,66;14,64;43,12
2007-04-01;77,37688815118;83,6;73,93408203125;114,37652220803;63,98;81,10279045808;0,72;14,22;41,045
2007-05-01;79,84441378656;86,2;88,0791015625;116,37934253623;63,46;81,04792375359;0,6;13,05;40,375
2007-06-01;80,62310067271;91,1;92,1575546264648;110,02408356799;67,49;80,71298677755;0,55;16,23;40,525
2007-07-01;77,42097786083;95,3;96,1720657348633;111,0602077201;74,12;81,5717322485;0,56;23,52;40,19
2007-08-01;77,42763068026;98,9;70,5976333618164;105,4904970349;72,36;81,34165586067;0,56;23,379999;40,64
2007-09-01;87,13329878443;105;88,0854339599609;108,1843053398;79,92;82,10690650041;0,58;18;39,66
2007-10-01;92,91070302476;107,6;94,4380111694336;114,419785097;85,8;82,7034795288;0,56;18,530001;39,195
2007-11-01;100,17608634828;110,5;76,5248718261719;112,14130372209;94,77;83,92367378318;0,52;22,870001;39,52
2007-12-01;106,55685775284;114,4;80,957160949707;105,31024055676;91,69;83,11660462176;0,47;22,5;39,405
2008-01-01;109,91639173969;120;80,7180404663086;109,54930435146;92,97;86,09618305064;0,27;26,200001;39,28
2008-02-01;114,3351027766;128;79,3384475708008;117,66387307462;95,39;89,2832227061;0,37;26,540001;39,92
2008-03-01;128,77000980207;132,1;67,8318099975586;126,25735791172;105,45;93,15680776249;0,74;25,610001;40,03
2008-04-01;174,0653096272;130,4;68,298210144043;125,45220505939;112,58;93,89550653129;0,49;20,790001;40,46
2008-05-01;213,04042394248;130;65,236572265625;121,31300547041;125,4;94,56874298216;0,51;17,83;42,16
2008-06-01;214,56865970122;132,5;70,5272064208984;117,97931591988;133,88;95,74115622493;0,53;23,950001;42,93
2008-07-01;239,63922629375;130,1;79,4317245483398;118,90987058632;133,37;96,02442387537;0,59;22,940001;42,483
2008-08-01;256,05522873853;121,1;74,7656173706055;109,90311983671;116,67;91,94854690625;0,57;20,65;43,87
2008-09-01;245,37345815242;112,8;77,9458236694336;98,02210471799;104,11;91,92784172449;0,55;39,389999;46,815
2008-10-01;242,16448559007;97,6;52,1327743530273;72,29347635486;76,61;84,76384242207;0,67;59,889999;49,325
2008-11-01;180,64833892443;89,5;63,4148864746094;58,7096512292;57,31;83,0985534166;0,66;55,279999;49,575
2008-12-01;162,44473706721;86;74,673095703125;50,63123693475;41,12;79,69941658863;0,54;40;48,62
2009-01-01;164,15376487467;86,4;61,3349304199219;51,68612290621;41,71;80,6713082638;0,6;44,84;48,85
2009-02-01;165,59260471911;84,2;63,048900604248;51,01072497992;39,09;80,22268918425;0,55;46,349998;51,005
2009-03-01;168,55288169239;84;56,752571105957;51,82135539392;47,94;78,97737129744;0,57;44,139999;50,57
2009-04-01;142,70543158016;87,2;69,484733581543;56,73932440549;49,65;80,48511577248;0,62;36,5;49,725
2009-05-01;132,28813214059;93,3;77,4302444458008;59,4276484875;59,03;83,84312133003;0,59;28,92;47,12
2009-06-01;119,83838118735;93,3;71,3568878173828;65,56631045343;69,64;81,43486478736;0,67;26,35;47,75
2009-07-01;99,30528189271;90,7;69,4314956665039;69,66553685381;64,15;79,58147708544;0,66;25,92;47,825
2009-08-01;95,2825541619;93,5;59,9464569091797;81,62767897716;71,05;81,76544062566;0,72;26,01;48,69
2009-09-01;86,16500694625;93;74,6005020141602;77,94030774342;69,41;83,39609212935;0,72;25,610001;47,735
2009-10-01;87,76069828741;94,8;81,0394668579102;80,52635177315;75,72;85,72595444901;0,64;30,690001;46,925
2009-11-01;87,97362127379;98,8;66,1575241088867;84,69645851051;77,99;88,33438164472;0,7;24,51;46,535
2009-12-01;90,8197949482;100,7;84,3959808349609;90,2933621993;74,47;88,9993231662;0,65;21,68;46,41
2010-01-01;92,95092522958;101,5;78,1244277954102;96,57673688045;78,33;90,50494403337;0,73;24,620001;46,125
2010-02-01;96,69123089563;99;71,459846496582;91,1065927433;76,39;90,00649525949;0,79;19,5;46,105
2010-03-01;95,00324637649;96,3;58,7095680236816;99,41678341999;81,2;91,68938317681;0,88;17,59;44,825
2010-04-01;92,46111912296;96,8;72,4843063354492;108,14545826422;84,29;96,86876013971;0,85;22,049999;44,275
2010-05-01;88,18066369539;96,3;85,6720504760742;96,01636655021;73,74;96,68567810901;0,77;32,07;46,365
2010-06-01;85,40078787376;95,8;95,8710174560547;89,09092808728;75,34;97,215394504;0,74;34,540001;46,445
2010-07-01;92,2909882514;100;66,1782073974609;89,19850455079;76,32;96,59183612301;0,73;23,5;46,405
2010-08-01;98,26055790433;107,7;74,3933029174805;97,58761195116;76,6;99,27813525641;0,69;26,049999;47,065
2010-09-01;107,41757334552;114,1;63,366771697998;100,63755177404;75,24;102,16155140084;0,62;23,700001;44,57
2010-10-01;112,34859694017;120,1;57,8123893737793;108,27305434035;81,89;107,45805474338;0,63;21,200001;44,325
2010-11-01;118,15945731259;124,1;82,3155975341797;109,42690316234;84,25;113,96373973158;0,75;23,540001;45,8
2010-12-01;120,83485305219;129,3;79,6795043945312;114,52350827588;89,15;117,5760275224;0,46;17,75;44,713
2011-01-01;120,67260400446;133,7;67,2546234130859;120,8067798945;89,17;124,47226877434;0,46;19,530001;45,825
2011-02-01;115,47620323966;137,6;70,897575378418;125,81963076352;88,58;134,22646926134;0,45;18,35;45,265
2011-03-01;111,73001285908;134,3;101,096504211426;121,37058532795;102,86;131,99465333192;0,6;17,74;44,535
2011-04-01;110,52139944702;136,4;76,1161727905273;124,28530280696;109,53;134,5554041357;0,62;14,75;44,255
2011-05-01;108,35564802136;135,2;90,7013473510742;118,49279648344;100,9;125,99048434931;0,55;15,45;45,06
2011-06-01;146,01848169353;135;77,3432540893555;116,97693495795;96,26;124,37217873468;0,64;16,52;44,7
2011-07-01;153,44880925391;133,2;68,4137496948242;120,98702273544;97,3;121,1942782004;0,65;25,25;44,21
2011-08-01;155,85325518967;133;71,489616394043;114,76937520668;86,33;121,31508178655;0,65;31,620001;45,8
2011-09-01;160,61171702185;130,4;72,504035949707;109,08108734898;85,52;120,09520875702;0,59;42,959999;49,02
2011-10-01;160,81943238104;125,7;66,2100677490234;98,38978774846;86,32;115,68802251406;0,61;29,959999;48,695
2011-11-01;158,78996767637;126,1;70,8801956176758;95,83966482156;97,16;106,32052358125;0,49;27,799999;52,13
2011-12-01;149,11074290464;122,1;75,7466049194336;95,07594280566;98,56;104,23668802442;0,55;23,4;53,015
2012-01-01;138,55776269623;122,4;68,2678680419922;100,50247509191;100,27;105,72491424471;0,44;19,440001;49,515
2012-02-01;139,32665972583;125,4;76,5500411987305;104,00500763309;102,2;107,84797657989;0,45;18,43;49,11
2012-03-01;136,90574068752;125,8;74,9962387084961;103,54326762651;106,16;106,46361030893;0,51;15,5;50,875
2012-04-01;154,33703779472;124,4;78,8109130859375;100,95386652161;103,32;106,25556847603;0,73;17,15;52,665
2012-05-01;161,10366070361;119;70,2324905395508;96,62863982128;94,66;104,59761513552;0,74;24,059999;56,03
2012-06-01;152,75350487305;115,9;61,874813079834;91,63118125981;82,3;98,81427164418;0,72;17,08;55,5
2012-07-01;118,63775599334;122,1;67,4638671875;91,1857005338;87,9;97,54645935137;0,7;18,93;55,55
2012-08-01;140,40886073762;123,4;68,635986328125;87,65118551064;94,13;95,74417280876;0,7;17,469999;55,52
2012-09-01;140,67719505147;125,2;61,4419250488281;93,5892224785;94,51;98,13747360269;0,74;15,73;52,84
2012-10-01;134,99042302858;124;69,4249267578125;94,00176961033;89,49;98,63831044944;0,7;18,6;53,8
2012-11-01;138,4240247523;123,6;67,2800750732422;92,41514908431;86,53;97,21219419427;0,7;15,87;54,26
2012-12-01;136,61751968479;122,9;65,622200012207;97,42328329313;87,86;99,10046259567;0,47;18,02;54,99
2013-01-01;131,81737763805;123,4;70,8666000366211;100,28575364763;94,76;99,46072465847;0,62;14,28;53,26
2013-02-01;136,40502217246;123,3;72,4058151245117;101,34065726775;95,31;97,20975938659;0,66;15,51;54,365
2013-03-01;129,7142914294;122,9;55,701545715332;94,54730708283;92,94;95,18855319104;0,67;12,7;54,28
2013-04-01;117,31720084841;122,9;76,689697265625;90,7332321538;92,02;94,44463051141;0,58;13,52;53,68
2013-05-01;123,66371024963;122,1;73,3460998535156;88,3155085324;94,51;94,99686962532;0,68;16,299999;56,57
2013-06-01;114,44710171192;120,9;71,1839218139648;85,4117449957;95,77;95,14239465382;0,69;16,860001;59,523
2013-07-01;110,3313765344;117,9;58,9587364196777;85,66884144195;104,67;92,91988076616;0,66;13,45;60,84
2013-08-01;107,22577872806;116,2;71,7505187988281;89,63748054703;106,57;94,16284781762;0,68;17,01;65,7
2013-09-01;102,13922505734;116,4;85,7788314819336;88,15323760672;106,29;95,17738853224;0,68;16,6;62,575
2013-10-01;98,31309926334;118,8;64,7018356323242;89,07356330013;100,54;95,39443533454;0,66;13,75;61,614
2013-11-01;99,74911090263;118,7;68,7341232299805;87,82071529155;93,86;95,24535958242;0,81;13,7;62,389
2013-12-01;101,24974297873;118,2;70,1871109008789;88,71366598638;97,63;95,59141551023;0,67;13,72;61,8
2014-01-01;105,66526447645;116,2;71,9802169799805;88,07568877782;94,62;95,16985388747;0,69;18,41;62,68
2014-02-01;105,60942788655;118,5;63,7806968688965;86,16332398817;100,82;95,2628600598;0,49;14;61,79
2014-03-01;102,59859795258;122,1;92,2150802612305;82,97936173713;100,8;96,55426128582;0,76;13,88;60,005
2014-04-01;94,90837907642;121,5;75,93310546875;85,47825515708;102,07;95,75856755526;0,8;13,41;60,34
2014-05-01;96,03112235443;121,3;73,1231307983398;84,84713666365;102,18;95,22598971479;0,8;11,4;59,18
2014-06-01;99,49879505757;119,3;82,3318405151367;84,35901480662;105,79;94,87029800421;0,77;11,57;60,045
2014-07-01;100,48395111002;116,4;104,568336486816;88,18183043721;103,59;94,28753122569;0,71;16,950001;60,55
2014-08-01;101,43514409269;113;96,0631408691406;88,03385374179;96,54;90,9776472339;0,82;12,09;60,505
2014-09-01;102,7868339775;109,3;104,130493164062;85,07021667072;93,21;88,2584821326;0,79;16,309999;61,925
2014-10-01;103,52714580171;109,4;68,8133010864258;82,61522827059;84,4;87,03256236861;0,75;14,03;61,39
2014-11-01;103,34969326874;108,2;67,8210144042969;82,85539367299;75,79;85,09821024787;0,64;13,33;62,195
2014-12-01;101,78104062012;105,1;69,4857406616211;78,82598352052;59,29;84,37267419978;0,81;19,200001;63,03
2015-01-01;101,36218939863;100,7;94,4410629272461;73,8531946875;47,22;83,45610380666;0,83;20,969999;62,01
2015-02-01;101,69905265602;98,5;98,143180847168;72,37040325316;50,58;85,02056433193;0,86;13,34;61,649
2015-03-01;100,88430969039;95,6;95,0536117553711;71,77724587365;47,82;83,64017078997;0,92;15,29;62,281
2015-04-01;95,15832024818;94,7;90,0971908569336;72,13660554901;54,45;83,67947299147;0,81;14,55;63,52
2015-05-01;95,4072527346;95;67,8885879516602;74,63688614214;59,27;86,00600056865;0,89;13,84;63,733
2015-06-01;100,1885932898;94,5;78,0304794311523;70,3133685838;59,82;85,64152174389;0,91;18,23;63,594
2015-07-01;99,80917670459;93,8;94,7588272094727;65,74767692707;50,9;84,35936490997;0,85;12,12;63,978
2015-08-01;98,43518872006;89,6;83,1236724853516;62,65317938594;42,87;83,37754198808;0,91;28,43;66,402
2015-09-01;99,60652030013;89;95,892333984375;63,40239009603;45,48;81,89823773182;0,94;24,5;65,507
2015-10-01;95,4687723803;90,4;90,8705978393555;62,21665659974;46,22;81,69236379864;1,03;15,07;65,413
2015-11-01;96,557487953;87,7;119,510467529297;57,8325425273;42,44;80,45638691114;1;16,129999;66,452
2015-12-01;96,24798508873;87,1;131,210586547852;56,31368037882;37,19;80,20100791879;1,15;18,209999;66,198
2016-01-01;90,31730941755;84,9;97,5021133422852;55,21308139438;31,68;78,4288010636;1,12;20,200001;67,868
2016-02-01;80,30048803834;86;84,3151702880859;57,68103065508;30,32;78,2576907741;1,26;20,549999;68,198
2016-03-01;81,99744177384;87,4;93,4527282714844;61,19185775563;37,55;78,88592022116;1,31;13,95;66,25
2016-04-01;81,36309726546;89,2;85,3721160888672;61,99894560548;40,75;81,60009897896;1,12;15,7;66,415
2016-05-01;81,08696508505;90,6;77,3542785644531;59,97948963399;46,71;82,05188514815;0,94;14,19;67,199
2016-06-01;72,54103878824;93,8;74,2213134765625;60,25668067631;48,76;81,61756039591;0,93;15,63;67,493
2016-07-01;76,65463031369;93;90,4310607910156;63,49255155392;44,65;80,54640244799;0,92;11,87;66,63
2016-08-01;72,69475673646;95,3;79,6497802734375;63,78019705978;44,72;80,5342581315;0,98;13,42;66,963
2016-09-01;73,05125868776;96,1;94,0345458984375;62,82845413738;45,18;80,60911677904;0,94;13,29;66,546
2016-10-01;72,96639047487;95,9;77,6897354125977;64,1328563209;49,78;78,72411204654;0,79;17,059999;66,675
2016-11-01;74,51043954205;95,8;71,8623428344727;71,52669221327;45,66;79,70767467082;0,78;13,33;68,588
2016-12-01;75,02915253434;95,1;86,4172439575195;73,53505724321;51,97;81,41390280484;0,83;14,04;67,945
2017-01-01;76,79330701687;97,7;86,7618789672852;74,5445265546;52,5;83,42597984085;0,97;11,99;67,49
2017-02-01;76,75358379617;98,1;98,752326965332;77,94041741155;53,47;85,17327831069;1,02;12,92;66,7
2017-03-01;76,44786976355;96,2;80,1341094970703;77,34271792858;49,33;82,76601566988;1,08;12,37;64,85
2017-04-01;73,74138825674;95,1;93,1114196777344;74,04135598388;51,06;82,49827024405;0,92;10,82;64,27
2017-05-01;68,50559852449;97,4;78,9104537963867;72,23872226729;48,48;82,15711923179;0,87;10,41;64,505
2017-06-01;70,25871604161;98;105,329345703125;71,70786089173;45,18;78,9968448692;0,84;11,18;64,615
2017-07-01;68,91560614106;100,2;86,8911972045898;75,38731558352;46,63;79,43806346962;0,9;10,26;64,17
2017-08-01;70,74848845154;99,3;107,87451171875;81,55521096138;48,04;79,37170927776;0,92;10,59;63,93
2017-09-01;74,07601719778;99,9;95,0246810913086;82,67827989338;49,82;80,34235409844;0,86;9,51;65,305
2017-10-01;78,08694341217;98,9;76,0986633300781;83,3900822677;51,58;78,63877099338;0,81;10,18;64,74
2017-11-01;82,67508395184;98,9;61,7596893310547;83,45610945792;56,64;78,74389545439;0,8;11,28;64,48
2017-12-01;74,09940833622;96,4;64,8411560058594;84,11395678797;57,88;80,40225113101;0,87;11,04;63,83
2018-01-01;75,45335079228;96,8;69,3432769775391;88,56962577713;63,7;82,76026845738;0,74;13,54;63,54
2018-02-01;77,69608163431;97,9;58,2115592956543;88,60694031026;62,23;83,16351356902;0,76;19,85;65,2
2018-03-01;78,2752110409;99;76,136474609375;84,47107154647;62,73;84,35758917164;0,89;19,969999;65,11
2018-04-01;78,5918444877;98,6;76,4016571044922;86,44544399191;66,25;84,63310890158;0,84;15,93;66,45
2018-05-01;77,3963629596;98,7;83,7504196166992;86,78852726804;69,98;83,09428116634;0,81;15,43;67,42
2018-06-01;78,03045075884;97;77,2205429077148;86,97667991636;67,87;82,19234304833;0,78;16,09;68,45
2018-07-01;82,63548241514;95,1;68,615348815918;79,77226290302;70,98;80,96061477547;0,82;12,83;68,45
2018-08-01;84,56561082431;96;74,0052185058594;78,11847133652;68,06;80,2832171521;0,8;12,86;71
2018-09-01;86,69724736239;94,2;51,7537460327148;77,44491643466;70,23;79,94930124471;0,83;12,12;72,5
