Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature;VIX;EURUSD;Meat;Vege_Oil;Wheat;Sugar;Food_lag
-1.4;1.11722668;-9.81172943;-1.21945733110098;-0.51;0.109745930000003;0.146844300897315;1.629999;-0.0341;1.89876027411053;-4;-38.25;-0.803987241758845;-2.6
-1.2;2.10597763;34.26613236;-0.534472295907566;2.67;0.0301234699999995;-0.19045131919879;-4.619999;-0.0255000000000001;2.87357844147117;1.19;43;0.217060952622814;-1.4
-0.399999999999999;-1.57422798;13.9156723;1.0418693527716;2.63;-0.0363986999999995;-0.0776867676883762;1.81;-0.02;1.06814173589429;0.369999999999997;-21.25;-0.251899046156547;-1.2
-0.799999999999997;0.0572446600000021;-16.15402985;2.12507989999028;0.41;1.45334395;-0.104711254200261;0.319998999999999;-0.0146999999999999;2.77053774446978;-1.51;-6.75;-0.356486407753951;-0.399999999999999
-2;-0.235509970000003;-8.31333160000001;0.495689167476343;0.200000000000003;1.51438954;-0.105024539812979;-4.299999;-0.00659999999999994;-0.670917057717418;-1.5;-2.25;0.103441985735013;-0.799999999999997
1.8;-0.589696909999997;-17.63756562;2.25659289515067;2.18;0.27662428;-0.116171148699245;3.549999;0.0349999999999999;-0.290435178593626;-1.37;13.75;-0.199470030617791;-2
0.200000000000003;0.272939260000001;-2.42374419999999;0.964624372623845;1.18;0.127774349999996;-0.16920505953077;-0.189997999999999;-0.0143;2.65988826603827;2.24;1;1.1746609317845;1.8
-1.4;0.0448061799999984;13.0557518;2.52705865121769;2.52;0.641584620000003;-0.140988959478136;0.959999;0.012;-0.0602095441663977;-0.460000000000001;11;0.257944181900414;0.200000000000003
0;-0.438598509999998;2.04200363;0.305785940620325;-1.11;-0.100186430000001;-0.169827413936535;-3.209999;-0.0133000000000001;1.67432166564501;-0.220000000000002;-20;-0.203423585578281;-1.4
-1.3;-0.315149000000002;-13.65205383;0.778923565780794;2.31;0.53945255;-0.160749188154062;1.979999;-0.0459999999999998;-2.74672289997048;0.380000000000003;-22.75;-0.938104868361238;0
0.700000000000003;0.11925969;26.05451203;0.310189982267126;1.1;-0.334059740000001;0.0338298910176289;0.459999;-0.00160000000000005;-2.03490660297952;-0.890000000000001;15.5;0.0817769558670722;-1.3
-0.300000000000004;1.51221293;-17.20937348;0.903342099109864;1.16;-0.0962234599999974;-0.176518273538994;0.310002000000001;-0.038;1.0579631557984;0.82;7.75;-0.77151382768316;0.700000000000003
0.5;1.82109555;1.49398041;-1.10318252110098;2.11;0.739049690000002;0.0357847427958017;-1.58;-0.00480000000000003;-1.65123972588948;-0.990000000000002;-9.25;-0.803987241758844;-0.300000000000004
0.600000000000001;-0.196778500000001;-15.07854462;-1.68904490590756;0.469999999999999;0.158283939999997;-0.0404513191987901;0.740000000000002;-0.00849999999999995;4.19357844147117;2.73;15.25;1.89706095262281;0.5
