Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
2002-06-01;51,3;34,44702411619;107,947250366211;33,70246560159;25,52;50,78458352641;0,6;25,4;0,9918;63,4;18,49;307;5,91
2002-07-01;52;34,56941808079;90,2196273803711;33,28193007945;26,97;52,53941516875;0,63;32,029999;0,9775;65;20,31;334;5,8
2002-08-01;53,4;36,45095572605;88,4414901733398;31,83382762712;28,39;53,87110764909;0,56;32,639999;0,982;64,72;20,72;362,25;5,98
2002-09-01;54,9;34,85845571111;111,664253234863;31,94689706607;29,66;54,1624411923;0,58;39,689999;0,9868;67,4;19,88;396,5;6,89
2002-10-01;55,2;34,61493333793;119,170524597168;32,17169872195;28,84;53,81056092859;0,49;31,139999;0,9907;68,4;21,76;402,25;7,64
2002-11-01;56,3;34,5525135411;117,241096496582;33,65796016088;26,35;53,71494654945;0,59;27,5;0,9946;74,78;22,65;373;7,61
2002-12-01;55,6;35,54381129878;116,265594482422;33,77978551933;29,46;54,61371088461;0,49;28,620001;1,0501;75,35;21,26;325;7,33
2003-01-01;56;37,18603439611;136,643829345703;34,72426392105;32,95;54,6651883207;0,71;31,17;1,0769;82,6;20,59;320,5;8,64
2003-02-01;56,5;40,48607102826;140,880065917969;35,71494977234;35,83;55,15073430514;0,59;29,629999;1,0798;79,12;21,02;312,5;8,9
2003-03-01;55,5;41,89542819029;244,572158813477;35,09271376163;33,51;56,33905609432;0,61;29,15;1,0924;75,8;21,4;286,75;7,68
2003-04-01;55,6;39,06477139723;209,307327270508;33,7632193579;28,17;55,58039829636;0,58;21,209999;1,1183;79,05;21,9;279,5;7,3
2003-05-01;56,3;40,48107719056;131,403350830078;35,12390074683;28,11;54,99671660349;0,62;19,469999;1,1787;82;22,04;324,25;7,08
2003-06-01;56;41,43522373436;126,875129699707;35,68727630682;30,66;55,16880773731;0,55;19,52;1,1511;73,22;22,07;301,75;6,33
2003-07-01;56,7;42,85213666081;119,357864379883;36,21383872155;30,76;55,31316282175;0,6;19,49;1,1231;78,85;19,24;348,5;7,21
2003-08-01;57,6;42,62217637538;112,945587158203;36,89844781826;31,57;56,1168143808;0,66;18,629999;1,098;84,35;20,86;367,5;6,29
2003-09-01;58,7;43,58636963906;102,623001098633;36,80479292;28,31;56,50481059401;0,65;22,719999;1,166;90;24,62;360,25;6,2
2003-10-01;60,3;44,72250381399;94,5968933105469;38,83244745573;30,34;58,99885687625;0,74;16,1;1,1584;101,75;25,6;369,5;5,93
