"","ARMAX","ARX","LM","NAIVE","ARX_GET","AR1","GAM","LM.1","MLP","MARS","SVM","RF","XGB","kNN","LSTM","LSTM_CNN","TDNN","y_real","id"
"231",0.874367183976182,0.951566329307485,0.336055163333609,1.09999999999999,0.679384939304235,-1.20276303751267,-0.174613642180209,0.336055163333609,-0.0552047142039847,2.22344366428485,0.29478552489668,1.1871389561247,1.48921263217926,2.52425564479685,-0.25294527,0.9445525,0.23640978,-0.400000000000006,1
"232",0.509143023393761,0.517839863724635,0.382462490726754,1.09999999999999,0.586535338309883,-0.530475670789699,0.559460771656104,0.382462490726754,0.625802735834025,0.124471715451539,0.204890994143412,-0.506794575245875,-0.183444917201996,0.175000000000008,0.1913026,-0.93539023,-0.05492803,0.100000000000009,2
"233",-0.339890111544913,-0.387124463080391,-0.766816881670102,1.09999999999999,-0.629941968728705,-0.135806591100092,-0.497152457781819,-0.766816881670102,-0.106767234913036,-0.12532983751312,-0.792721810347144,-0.185458553651589,0.0427321530878544,-0.137426411941554,0.19904342,0.1849516,-0.37495565,-1.7,3
"234",-0.583986599113949,-0.607060651294664,-1.06774246391794,1.09999999999999,-0.751357655760992,0.0958855247614674,-0.387375006698518,-1.06774246391794,-0.765470866402969,0.0904765121254889,-0.127522984374051,0.231361600212811,0.450839012861252,1.03292116364068,-0.8268727,-0.5293375,-0.3676901,-1.90000000000001,4
"235",-0.211661501203469,-0.270608105515897,-0.328345935326533,1.09999999999999,-0.601537526325269,0.231901339820059,0.524403946989988,-0.328345935326533,-0.56283292063025,-0.32566347278906,-0.313864456888983,-0.144591130289993,-0.0407851077616215,-0.0999999999999251,-1.011227,0.25189877,-0.34934837,0.900000000000006,5
"236",-0.0358940986118197,-0.0918847207473997,0.0694106513161968,1.09999999999999,-0.315446564293728,0.311749986707584,-0.364836085393184,0.0694106513161968,-0.13588065683876,0.0514487724399427,-0.144743735209356,0.218846196739889,0.0399903804063797,0.0127145283486211,-0.39776492,-0.01561911,-0.11685323,-1.8,6
"237",0.334964605053933,0.261769370684445,0.523684457582322,1.09999999999999,0.0725506871935868,0.358625465173247,-0.694645813621157,0.523684457582322,1.01860755929765,1.45900983064895,0.517563778609065,0.526900098795444,0.18144303560257,0.537517668144543,-0.02392626,0.5863977,-0.10121601,-0.900000000000006,7
"238",-0.474633271136267,-0.517217758497878,-0.53149276797152,1.09999999999999,-0.362065171505472,0.386143908716567,-0.436105463065442,-0.53149276797152,-1.06880996813568,-0.928777377060581,-0.411218364380283,-0.331400509506442,-0.343134641647339,0.412500000000007,0.39662206,-0.7480756,-0.58172035,-1.09999999999999,8
"239",-0.910649619736461,-0.934998574682558,-1.12681659263926,1.09999999999999,-1.08730982594387,0.402298724834371,0.449948106891644,-1.12681659263926,-1.87280914006964,-1.11149779248249,-1.02330613814668,-0.806480460793435,-0.583561837673187,-0.493368344987208,-0.6282057,-1.245021,-0.6125661,1.61839510195212e-18,9
"240",0.296682802673448,0.277596411151363,0.611711397933979,1.09999999999999,0.15253367950135,0.411782476464045,-0.2054691959879,0.611711397933979,0.821410829894568,0.152249280366589,0.561796050346138,0.990996481824864,1.12243616580963,0.762500000000809,-1.1094687,-0.41833475,0.26304865,1.09999999999999,10
