"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","792.00","767.50","799.00","702.50","375.77K","-0.44%"
"11/01/2022","795.50","879.50","903.90","771.00","45.18K","-9.83%"
"10/01/2022","882.25","927.50","949.62","822.88","33.95K","-4.26%"
"09/01/2022","921.50","802.75","945.75","773.00","617.46K","10.82%"
"08/01/2022","831.50","814.12","848.50","725.88","28.06K","2.94%"
"07/01/2022","807.75","890.25","940.00","754.25","47.27K","-8.63%"
"06/01/2022","884.00","1,091.00","1,108.62","881.00","42.37K","-18.75%"
"05/01/2022","1,088.00","1,045.25","1,283.60","1,034.25","25.54K","3.05%"
"04/01/2022","1,055.75","1,003.00","1,143.50","982.00","785.79K","4.95%"
"03/01/2022","1,006.00","936.75","1,362.12","932.50","0.15K","8.41%"
"02/01/2022","928.00","762.50","951.25","740.00","1.06M","21.90%"
"01/01/2022","761.25","771.62","831.40","735.75","44.59K","-1.23%"
"12/01/2021","770.75","784.00","824.00","751.00","480.19K","-0.39%"
"11/01/2021","773.75","774.50","863.25","762.50","1.19M","0.13%"
"10/01/2021","772.75","725.00","780.00","712.75","995.02K","6.48%"
"09/01/2021","725.75","723.62","733.10","678.50","","0.24%"
"08/01/2021","724.00","705.25","774.62","704.25","","2.91%"
"07/01/2021","703.50","678.62","717.90","609.60","","3.42%"
"06/01/2021","680.25","673.62","704.00","632.62","","2.43%"
"05/01/2021","664.12","733.25","767.00","639.75","","-9.68%"
"04/01/2021","735.30","622.00","769.40","601.38","","18.84%"
"03/01/2021","618.75","662.12","668.62","593.38","","-6.27%"
"02/01/2021","660.12","657.00","688.38","625.75","","-0.38%"
"01/01/2021","662.62","641.75","693.12","625.75","","3.25%"
"12/01/2020","641.75","579.38","644.38","563.50","","10.46%"
"11/01/2020","581.00","596.75","625.88","579.50","","-2.92%"
"10/01/2020","598.50","575.12","637.62","561.38","","3.53%"
"09/01/2020","578.12","541.88","586.62","533.38","","5.79%"
"08/01/2020","546.50","526.12","551.75","488.12","","2.92%"
"07/01/2020","531.00","490.50","551.62","477.50","","8.20%"
